Review text,Amazon Rating,Date of Review
\n\n  Very very pathetic...My son lost  1kg  weight  due to loss of sleep  and continues  crying during nite....The diaper was not of gud quality at all...I am a regular  customer  of Amazon and I hav given  a gud rating  for all my products purchased  till date...This is first time I'm giving  a negative  remark. the product  has to b extra  durable  and of gud quality  since we r using  it for the little  ones ..Very very disappointed..Amazon  cannot  do anything...Huggies  management  has to correct  and fulfill the needs ..I don't know  I selected  Huggies  on luking  at the  ratings and reviews but it didn't  fulfill my need...\n\n,1.0 out of 5 stars,Reviewed in India on 28 September 2018
"\n\n  Don't Buy it. Last month we have used the same product but no issue, But this month company made the changes in manufacturing like bubble shape under diper, don't know they are doing this to reduce cost or what they are trying to achive without testing. It is matter of small baby and they just judging us like a customer. I request you all now don't buy it as it is creating red rashes and we have to visit doctor to gwt treatment of baby. Doctor just simple advise to change dipers, we have changed to another similar brand and now everything fine.\n\n",1.0 out of 5 stars,Reviewed in India on 30 November 2019
\n\n  The huggies which i used to order before doesn't leak and have not faced any sort of issues but this time which i ordered seems to be newly launched diapers from huggies or fake diapers. Lookwise its good but starts to leak very soon and even starts to drip. It doesn't fulfill the requirement. May be this could be the reason they sold it in less price than before.\n\n,2.0 out of 5 stars,Reviewed in India on 20 August 2019
\n\n  One star for old product which I received..I have been ordering Huggies pants for almost a year but this time recieved old product....manufactured Feb 2019....new huggies diapers have bubble bed absorbent which is not there in diapers I recieved...can't return after opening the pack...better we check the date before opening\n\n,1.0 out of 5 stars,Reviewed in India on 8 June 2020
"\n\n  Pathetic.. I would say.. used 10-12 diapers till now since bought.. out of them, 8 teared off while wearing. Disgusting material used.. do not stay more than 3 hours.. leaks.. i tried Huggies for the first time (always used pampers but tried Huggies cuz of price difference of 200 rs) and really disappointed. Will never buy it again.. though pampers are a bit costly than Huggies.. but all over because of its efficiency and good material, they are more cost effective to me than Huggies. And one more thing guyz.. I had to use only 4 pampers a day but now I am using 6 Huggies a day.. overall.. wastage of money. Amazon should discontinue it. As amazon has a good reputation but products like this are deteriorating it..\n\n",1.0 out of 5 stars,Reviewed in India on 22 July 2020
"\n\n\n  Your browser does not support HTML5 video.\n\n\n  \xa0oh my god, very bad experience. I used to use all the time Huggies dry diapers, but once there were no stocks on online, then tried these pants immediately after using one the baby got rashes that 2 to 3 days were very problematic it was bad experiences, uploaded some images check those, it may be help full to you, Diaper cost only 1/4 amount but doctor cost four times more, Don't try this type of bubble bed. The bubble texture inside the pant was very irritated to the skin of the baby, Definitely. I don't recommend these bubble textured ones\n\n",1.0 out of 5 stars,Reviewed in India on 29 January 2021
\n\n  Plz don\u2019t buy just coz film stars are endorsing this product. They don\u2019t use it.The product is soft definitely but it doesn\u2019t solve the actual purpose of absorbing or non leaky. After a single use the bubble layer feels wet & the channeling of liquid that the company is advertising is all rubbish & fake.It is not good as compared to Mamy poco pants & Pampers pants.So if you don\u2019t want your child to suffer plz don\u2019t buy.\n\n,1.0 out of 5 stars,Reviewed in India on 10 January 2020
"\n\n  My baby is now 10 months old and I have been using this diaper for more than 9 months now.We were in endless search for a diaper for our new born. Our parents were always against the diapers and they were literally forcing me to use cotton cloth for the baby as they were in impression that diapers give rashes.. How wrong they were. Diapers absorb the wetness and helps to keep the baby dry. It helps in avoiding rasher, cold, time, effort, mess and what not.. \U0001f603\U0001f603So coming to this diaper, the diaper is actually what I was searching for. The diaper keeps the baby dry. It covers the entire backside of my baby. She is super comfortable in it. Before using Huggies wonder pants, We did use few different diapers as well. But, nothing worked as this this does.Overall, I am happy using this product and I do recommend this to others..\n\n",5.0 out of 5 stars,Reviewed in India on 20 December 2020
\n\n  Worst purchase again ... No good.Something is wrong this time. Diapers are not holding on even for three hours. This is irritating my kid during sleep and we need to change more than twice per night.Earlier diapers ordered were absolutely fine but not this time. Possibly the design fault which came up recently.Tested one by pourng 100ml water in the diaper and soon it became like a sack swollen completely.Considering other brands now.\n\n,1.0 out of 5 stars,Reviewed in India on 24 July 2019
"\n\n  NOT LEAKPROOF,NOT ABSORBANT,NOT GOOD. It just holds water for 1 hr max and then start leaking. I have been buying this item for so long.. since my baby was a newborn but this is the first time i am having such a bad, infact very bad experience.Huggies is either trying to cut cost or they have sent me a fake Huggies but please dont buy this. Its very very bad.\n\n",1.0 out of 5 stars,Reviewed in India on 17 October 2020
\n\n  I was using MamyPoco brand for by baby from his birth but after two three months he got rashes because of its roughness. So I decided to change the brand and used Huggies and after one month of use now he doesn't have rashes. Huggies diapers are soft and safe.\n\n,5.0 out of 5 stars,Reviewed in India on 8 January 2020
\n\n  I don't recommend this. My child is 10kilo I am using Large size. We normally change the diaper in 6-7 hour even though this is a 12 hour diaper but still almost every night the diaper leaks after 3-4 hour\n\n,1.0 out of 5 stars,Reviewed in India on 4 January 2021
"\n\n  Huggies pants diapers are very soft esp near the waist region. It does not leave behind any mark. I have used Pampers pants diapers too for my baby but that's not as soft as Huggies and hence leaves a mark behind. Compared to Pampers, Huggies pants diapers are a bit bulky but still I prefer Huggies.It absorbs well and it's leak proof.But I would say don't wait for 12 hours to change your baby's diapers.\n\n",4.0 out of 5 stars,Reviewed in India on 21 June 2020
"\n\n  I won't recommend this product for baby boys.Because of fast delivery in lockdown I have odered it but its not at all good. Leaking in first time pee itself during night sleep. I feel, its good for the baby girls but not for the baby boys.\n\n",2.0 out of 5 stars,Reviewed in India on 29 May 2020
"\n\n  I have been a loyal customer of amazon. Have even ordered products which were available little cheaper somewhere else. Because I trust amazon blindly. But lately I have received packages that did not live up to the standards. Huggies wonder pants , ordered twice by me , large quantity. The quality is not good. The diaper leaks instantly the baby pees once. Had to use 4 , 5 diapers in a single night. Utterly disappointed. Amazon service has been great. However , if big discounts are given compromising quality to such extent then it's better not to .Huggies makers please note.\n\n",1.0 out of 5 stars,Reviewed in India on 26 September 2018
\n\n  It's real steal and value for money. I'd say a must buy for every toddlers parent\n\n,5.0 out of 5 stars,Reviewed in India on 23 December 2017
\n\n  I've been a regular customer to purchase this product gor the last two years but I was very disappointed today when I found these two diapers in one of the packets. Huggies is a reputable company but such carelessness and low product quality chek its a shame. I hope something is to be done  to avoid such incidents.\n\n,1.0 out of 5 stars,Reviewed in India on 8 March 2021
\n\n  FAKE FAKE FAKEPLEASE DO NOT PURCHASEWe have been using The same brand since 10 months for my little one.. I always purchased these from reputable pharmacies or from first cry.. And we never faced any issues with it til now.. It easily used to last for5 hrs..First time I had purchased on amazon as we ran out of them and needed a same day delivery.. The item received was not packed in an outer delivery cover and had a orange smudge on one side.. Nevertheless we started using them but found that the diaper doesn't even last for 2 hrs and has serious leaking issues.. There is low or No absorbency at all...Iam pretty sure this is a Fake Fake Fake Fake product.. Why the heck does amazon encourage such sellers..Absolutely Disgusting..PLEASE DO NOT BUY THIS PRODUCT FROM SELLER/AMAZON\n\n,1.0 out of 5 stars,Reviewed in India on 19 November 2020
"\n\n  My 9 months old baby has a sensitive skin and is 12 Kg and as Pampers premium is getting too costly I switched to huggies hoping for a better alternative.  This thing is causing my child eczema.  Heavy rashes I can't imagine how she must be bearing with it. This one says large is for maximum 14 kg babies which is wrong.  Large must be for younger babies or maximum till 10 kg not more than that.  I'll try xl size tomorrow. If it still causes rashes then I'll switch back to Pampers premium.  I never write a bad review and this is the first item which I actually wanted to let parents know who want to switch diapers due to some or the other reasons.Regards, A.pai\n\n",1.0 out of 5 stars,Reviewed in India on 25 February 2021
\n\n  Pls don't buy this guys..  The bubble bed is not embedded... They have sticked a bubble type tissue that's all.. If your baby urinates the sheet will come out... Don't cheat like this on ppl. It is the product for the future generation. Ur baby might fall sick with such cheap quality.\n\n,1.0 out of 5 stars,Reviewed in India on 25 October 2019
"\n\n  A good product. Does not hold for 12 hours as the product description says, max to max 5 to 6 hours and not more than that. After 6 hours the diaper goes full and leaks. (Obviously it happens with all the diapers in the world). I too feel that it's not good to keep a baby too long in the same diaper as it can cause rashes and itchiness. Absorbs well for 6 hours and keeps your baby feel comfortable.\n\n",4.0 out of 5 stars,Reviewed in India on 25 February 2021
"\n\n  The product s fyn, bt received vry old pack wit the m.f.g yr 2016. Though the product has 3 years of expiry date, its nt convincible to receive such an old product which s almost near to expiry date..Plz don do send such old products as it s concerned with baby's health.\n\n",4.0 out of 5 stars,Reviewed in India on 19 April 2019
"\n\n  Have been using these diapers for my son for 8 months now......they are good, cause no rash and keep my baby dry for long\n\n",5.0 out of 5 stars,Reviewed in India on 23 November 2017
